order_id,order_complexity,supplier_a,material_lead_time,machine_queue_length,export_flag,approval_duration,carrier_express,shipment_delay,machine_id,worker_id,material_id,shipment_id,timestamp,event_type
ORD_0000,1.0,0.0,2.567309680844171,1.368427757583202,0.0,6.352920030019125,1.0,0.6776898613147391,MCH_01,WRK_01,MAT_B,SHP_0000,2023-01-01 00:00:00.000000000,shipment_dispatched
ORD_0001,8.0,1.0,8.902553289596135,5.984834481126481,1.0,12.194001656968657,1.0,8.696353937720021,MCH_02,WRK_02,MAT_A,SHP_0001,2023-01-01 07:19:05.719470721,production_started
ORD_0002,7.0,1.0,10.21567408483342,7.191050006784353,0.0,15.962271968391008,1.0,10.709285499935191,MCH_03,WRK_03,MAT_A,SHP_0002,2023-01-01 17:12:56.348849687,material_received
ORD_0003,5.0,0.0,0.7958654327343855,5.692100951401537,1.0,11.930304212048597,0.0,1.4280227659925575,MCH_04,WRK_04,MAT_B,SHP_0003,2023-01-02 18:52:11.385690559,order_placed
ORD_0004,5.0,1.0,9.421272045013241,6.1397443593992005,1.0,17.064127336994765,1.0,8.176579130809243,MCH_05,WRK_05,MAT_A,SHP_0004,2023-01-04 00:52:11.385690559,shipment_dispatched
ORD_0005,9.0,1.0,9.472610546205507,9.055201329050195,0.0,13.279433021032773,1.0,9.040476817317465,MCH_06,WRK_06,MAT_A,SHP_0005,2023-01-04 06:52:18.594193886,material_received
ORD_0006,1.0,0.0,2.484373677602596,2.401269732964496,0.0,7.303347964709919,0.0,0.5901041256612561,MCH_07,WRK_07,MAT_B,SHP_0006,2023-01-04 13:08:04.108457754,production_started
ORD_0007,7.0,1.0,8.675072003082917,7.395851159802689,0.0,12.025518743322149,0.0,8.58837864984851,MCH_08,WRK_08,MAT_A,SHP_0007,2023-01-04 18:27:25.033500366,production_started
ORD_0008,3.0,0.0,0.5265887509396663,4.296831199935759,0.0,11.624781273471832,1.0,-0.6013177476230638,MCH_01,WRK_09,MAT_B,SHP_0008,2023-01-04 22:27:25.033500366,shipment_dispatched
ORD_0009,1.0,0.0,2.2370182092365454,2.907656823563879,1.0,8.662650828187177,1.0,0.6457174620714494,MCH_02,WRK_10,MAT_B,SHP_0009,2023-01-05 04:46:10.995682367,production_started
ORD_0010,6.0,1.0,9.921144218036382,4.472427797718922,1.0,10.600160743656804,0.0,10.158744266163062,MCH_03,WRK_11,MAT_A,SHP_0010,2023-01-05 10:38:37.252217110,production_started
ORD_0011,10.0,1.0,10.305963970106431,8.738181936759837,1.0,17.50062687384549,1.0,11.556257241531917,MCH_04,WRK_12,MAT_A,SHP_0011,2023-01-05 13:24:31.057989710,order_placed
ORD_0012,8.0,1.0,9.213158677292679,5.976942635766578,1.0,15.586325921555833,0.0,8.848462804083386,MCH_05,WRK_13,MAT_A,SHP_0012,2023-01-05 14:22:00.236409533,quality_check
ORD_0013,8.0,1.0,10.120545312812357,7.932133741411918,0.0,15.891240609464536,1.0,9.087190386349087,MCH_06,WRK_14,MAT_A,SHP_0013,2023-01-05 21:03:23.792158043,order_placed
ORD_0014,8.0,1.0,9.888619019910744,9.22995950032312,0.0,15.831686333600903,0.0,10.397526601122866,MCH_07,WRK_15,MAT_A,SHP_0014,2023-01-06 21:41:23.526259118,quality_check
ORD_0015,8.0,1.0,10.55792406217147,8.496341363481818,1.0,16.76068320774462,0.0,10.95258383043295,MCH_08,WRK_01,MAT_A,SHP_0015,2023-01-07 01:41:23.526259118,order_placed
ORD_0016,6.0,0.0,2.0556896671646254,5.392947464741915,0.0,11.736681320465953,0.0,1.8216883614387707,MCH_01,WRK_02,MAT_B,SHP_0016,2023-01-07 07:41:16.927681535,material_received
ORD_0017,2.0,0.0,0.7160805577647369,3.3054135116099665,0.0,8.32709741647146,0.0,0.03353445134909119,MCH_02,WRK_03,MAT_B,SHP_0017,2023-01-07 12:16:50.006678180,production_started
ORD_0018,9.0,1.0,9.445872261104602,8.748940177755623,1.0,17.570389746212715,1.0,9.715701766910493,MCH_03,WRK_04,MAT_A,SHP_0018,2023-01-08 18:16:50.006678180,production_started
